sequence,label
"[0.9554383898744525, 0.9554383898744525, 0.9554383898744524, 0.9554383898744525]",1
"[0.5469168220800043, 0.5469168220800043, 0.5469168220800041, 0.5469168220800043]",1
"[0.37622509981563834, 0.37622509981563834, 0.3762250998156384, 0.37622509981563834]",1
"[0.47342194366642343, 0.47342194366642343, 0.47342194366642343, 0.47342194366642343]",1
"[0.8246463161812658, 0.8246463161812658, 0.8246463161812658, 0.8246463161812658]",0
"[0.6990897117856791, 0.6990897117856791, 0.699089711785679, 0.6990897117856791]",1
"[0.07446061691773284, 0.07446061691773286, 0.07446061691773284, 0.07446061691773286]",0
"[0.5257329985946648, 0.5257329985946647, 0.5257329985946647, 0.5257329985946648]",1
"[0.23879763070984117, 0.2387976307098412, 0.2387976307098412, 0.23879763070984117]",0
"[0.03600672537604375, 0.03600672537604375, 0.03600672537604375, 0.03600672537604375]",0
"[0.4354071371379376, 0.43540713713793755, 0.4354071371379376, 0.43540713713793755]",1
"[0.23407280697612304, 0.23407280697612304, 0.23407280697612304, 0.234072806976123]",0
"[0.3432794701917048, 0.34327947019170474, 0.3432794701917048, 0.3432794701917048]",0
"[0.012402342507946584, 0.012402342507946584, 0.012402342507946583, 0.012402342507946583]",0
"[0.34634268571497906, 0.34634268571497906, 0.34634268571497906, 0.34634268571497906]",0
"[0.5791545943262351, 0.5791545943262351, 0.5791545943262351, 0.5791545943262352]",1
"[0.7310547645073118, 0.7310547645073118, 0.7310547645073118, 0.7310547645073119]",1
"[0.2899917124257038, 0.3368018880874854, 0.33680188808748546, 0.3368018880874854]",0
"[0.25397402271605257, 0.2539740227160525, 0.25397402271605257, 0.2539740227160525]",0
"[0.10877547252257593, 0.10877547252257593, 0.10877547252257593, 0.10877547252257593]",0
"[0.973914827009861, 0.973914827009861, 0.973914827009861, 0.973914827009861]",1
"[0.6818844063931713, 0.6818844063931713, 0.6818844063931713, 0.6818844063931714]",1
"[0.25401005882584266, 0.25401005882584266, 0.25401005882584266, 0.25401005882584266]",0
"[0.6656096805417141, 0.6656096805417141, 0.665609680541714, 0.6656096805417141]",1
"[0.6875015806914284, 0.6875015806914284, 0.6875015806914283, 0.6875015806914284]",1
"[0.05462343288607136, 0.05462343288607136, 0.05462343288607136, 0.05462343288607136]",0
"[0.7266267818321284, 0.7266267818321284, 0.7266267818321284, 0.7266267818321285]",1
"[0.22398291552156382, 0.22398291552156385, 0.22398291552156385, 0.22398291552156382]",0
"[0.40048354173120393, 0.40048354173120393, 0.40048354173120393, 0.40048354173120393]",1
"[0.7012148920210497, 0.7012148920210497, 0.7012148920210497, 0.7012148920210498]",1
"[0.7882316444994643, 0.7882316444994643, 0.7882316444994643, 0.7882316444994643]",0
"[0.6455912195277412, 0.6455912195277412, 0.6455912195277412, 0.6455912195277413]",1
"[0.672307645751445, 0.672307645751445, 0.6723076457514449, 0.672307645751445]",1
"[0.11711772229565076, 0.11711772229565078, 0.11711772229565076, 0.11711772229565076]",0
"[0.6455551834179512, 0.6455551834179512, 0.6455551834179512, 0.6455551834179512]",1
"[0.43000186686053554, 0.43000186686053554, 0.43000186686053554, 0.43000186686053554]",1
"[0.8110286138407022, 0.8110286138407022, 0.8110286138407022, 0.8110286138407022]",0
"[0.9941697521519697, 0.9941697521519697, 0.9941697521519697, 0.9941697521519698]",1
"[0.052491820241650985, 0.052491820241650985, 0.05249182024165099, 0.052491820241650985]",0
"[0.5508434423270935, 0.5508434423270935, 0.5508434423270935, 0.5508434423270936]",1
"[0.784608590102189, 0.784608590102189, 0.8142439412188918, 0.8142439412188918]",0
"[0.8350120702693907, 0.8350120702693907, 0.8350120702693906, 0.8350120702693907]",0
"[0.8408467769464214, 0.8408467769464213, 0.8408467769464213, 0.8408467769464214]",0
"[0.16499816310864293, 0.16499816310864296, 0.16499816310864296, 0.16499816310864293]",0
"[0.19399663263386244, 0.19399663263386244, 0.19399663263386246, 0.19399663263386244]",0
"[0.7544124498692393, 0.7544124498692393, 0.7544124498692393, 0.7544124498692394]",0
"[0.3818110623108926, 0.3818110623108926, 0.3818110623108926, 0.3818110623108926]",1
"[0.7912692034820968, 0.7912692034820968, 0.7912692034820968, 0.791269203482097]",0
"[0.8720674245116595, 0.8720674245116595, 0.8720674245116594, 0.8720674245116595]",0
"[0.7825597947242843, 0.7825597947242843, 0.7825597947242842, 0.7825597947242843]",0
"[0.9874780731601738, 0.9874780731601738, 0.9874780731601738, 0.9874780731601739]",1
"[0.8847940189121597, 0.8847940189121597, 0.8847940189121597, 0.8847940189121598]",1
"[0.41994538007570065, 0.41994538007570065, 0.41994538007570065, 0.41994538007570065]",1
