sequence,label
"[0.05113457631273338, 0.01034140294078446, 0.010357079313553692, 0.10392103967120986]",0
"[0.8252831840650822, 0.8252833797532702, 0.8252861472964169, 0.8252831840650824]",1
"[0.49687735106695835, 0.49687791457974295, 0.4968858841253851, 0.49687735106695846]",1
"[0.289713691045921, 0.2897144865883531, 0.28972573764049764, 0.28971369104592104]",1
"[0.06187536221031575, 0.03321002862638322, 0.016285147604900407, 0.15214017295212567]",0
"[0.0768255479916068, 0.021518508746399306, 0.019232061553349094, 0.1705296566846224]",0
"[0.5517773146179203, 0.5517778166410634, 0.5517849165622388, 0.5517773146179205]",1
"[0.10496106929125341, 0.10496207176228343, 0.10497624932639224, 0.10495818920922871]",0
"[0.2531740903980945, 0.2531749268659991, 0.2531867567114373, 0.2531740903980946]",1
"[0.7495123861127565, 0.7495126666665601, 0.7495166344316287, 0.7495123861127566]",1
"[0.79428006109614, 0.0782040596630724, 0.009943474548826802, 0.7942504602531082]",0
"[0.14073648817518322, 0.14073745057664777, 0.12072235072148031, 0.1407179276465794]",0
"[0.06653165482152933, 0.10398668507570369, 0.10869261213889184, 0.11228031774344936]",0
"[0.43208318572912957, 0.43208382181336485, 0.43209281770926, 0.4320831857291296]",1
"[0.13669701313093396, 0.042353638795557445, 0.04236880808866918, 0.19294869517883873]",0
"[0.8408037860918278, 0.840803964396466, 0.8408064860907198, 0.840803786091828]",1
"[0.025369682528558413, 0.025370774144380593, 0.025386212449167413, 0.1487415161583802]",0
"[0.10500699059909227, 0.105007993018689, 0.0787647473698897, 0.10499611028922107]",0
"[0.3024658942286676, 0.30246667548824135, 0.30247772454338673, 0.30246589422866765]",1
"[0.11763999038692623, 0.04305509798748094, 0.04307025616935107, 0.1639606695998702]",0
"[0.035003396896743616, 0.03500447772251049, 0.010582041905122748, 0.10035517811547276]",0
"[0.0005691362089992323, 0.000570255602193276, 0.043846105107130835, 0.18979500536175273]",0
"[0.07643017673143332, 0.07643121115793729, 0.08835893789496455, 0.10238259585633001]",0
"[0.2849113142742305, 0.28491211519547177, 0.2849234423180555, 0.28491131427423055]",1
"[0.674682094946064, 0.6746824593120869, 0.6746876124012949, 0.6746820949460641]",1
"[0.5962569813988302, 0.5962574336033835, 0.5962638289593096, 0.5962569813988303]",1
"[0.023610592429672395, 0.023611686015729393, 0.02362715218479317, 0.09568832520350182]",0
"[0.6274009083778705, 0.6274013257002713, 0.6274072277312636, 0.6274009083778707]",1
"[0.05147874611468935, 0.05147980848756022, 0.051494833220478695, 0.18193014137042623]",0
"[0.8286869610046493, 0.8286871528805029, 0.8286898665072622, 0.8286869610046496]",1
"[0.07699931294043255, 0.1284966356679519, 0.14255204219952614, 0.7818843480662331]",0
"[0.8488432150547647, 0.8488433843549961, 0.8488457787033707, 0.8488432150547649]",1
"[0.17031205048719786, 0.17031297976312632, 0.17032612215692725, 0.17031205048719789]",0
"[0.2407970979013482, 0.24079794823186362, 0.240809974130902, 0.24079709790134826]",1
"[0.007841823335128584, 0.0011129904514187508, 0.0011288130039258052, 0.08857564263430223]",0
"[0.8649908749401183, 0.8649910261544757, 0.8649931647212576, 0.8649908749401185]",1
"[0.004546529485159738, 0.008422150430035765, 0.008437857204114992, 0.12811500871544823]",0
"[0.09234679003658025, 0.07515261617557857, 0.07516726592690348, 0.7759928202755216]",0
"[0.03642791746708946, 0.09572677908467576, 0.011437091755297021, 0.16578472154886972]",0
"[0.5062784188093676, 0.5062789717926683, 0.5062867924238488, 0.5062784188093677]",1
"[0.1035565492905238, 0.10355755333465926, 0.009506989520519277, 0.1500562736026722]",0
"[0.25596808997120235, 0.25596892330974175, 0.2559807088977665, 0.2559680899712024]",1
"[0.020389860703232825, 0.11070078877358086, 0.06382281523883154, 0.17433776513955118]",0
"[0.5123576319453578, 0.5123581781197535, 0.5123659024551963, 0.5123576319453579]",1
"[0.0006382581775928979, 0.0006393774933682186, 0.0006552075479909528, 0.0006382581775928979]",0
"[0.6841017232170772, 0.6841020770328278, 0.6841070809135722, 0.6841017232170773]",1
"[0.007210445353483667, 0.007211557308207953, 0.007227283258303136, 0.8032679970725568]",0
"[0.2825307664762292, 0.28253157006375695, 0.28254293489460997, 0.28253076647622927]",1
"[0.9287546109313193, 0.9287546907283385, 0.928755819267038, 0.9287546109313195]",1
"[0.0089567350878153, 0.04735281557303408, 0.04736790567827341, 0.16483973463564244]",0
"[0.7385528739858511, 0.7385531668146441, 0.7385573081801903, 0.7385528739858512]",1
"[0.009034977316153964, 0.00903608722734654, 0.12248285100244355, 0.15217153384528392]",0
"[0.935579765311716, 0.9355798374643531, 0.9355808578914829, 0.9355797653117163]",1
"[0.24958198809502094, 0.24958282858619013, 0.2495947153311206, 0.249581988095021]",1
"[0.11470822689030184, 0.012190093520958734, 0.012205740610131828, 0.1491320872818458]",0
"[0.45305322295578976, 0.45305383555294076, 0.4530624992799917, 0.45305322295578987]",1
"[0.9989102089627512, 0.9989102101833507, 0.9989102274458203, 0.9989102089627514]",1
"[0.31606644157225594, 0.3160672075987999, 0.3160780412190348, 0.316066441572256]",1
"[0.1348403202523208, 0.13484128925767408, 0.037563952736735524, 0.777653347567339]",0
"[0.9969343126892254, 0.9969343161228893, 0.9969343646838812, 0.9969343126892256]",1
"[0.9354629619851573, 0.9354630342686177, 0.9354640565459315, 0.9354629619851575]",1
"[0.8215494777291257, 0.8215496775991792, 0.8215525042848494, 0.8215494777291259]",1
"[0.903669416504982, 0.9036695243981876, 0.9036710502904994, 0.9036694165049822]",1
"[0.7029689805565662, 0.7029693132404103, 0.7029740182606904, 0.7029689805565663]",1
"[0.3123572159335098, 0.3123579861145001, 0.3123688784894802, 0.31235721593350985]",1
"[0.963457039256478, 0.963457080185714, 0.9634576590322321, 0.9634570392564782]",1
"[0.5205599455472492, 0.5205604825348022, 0.5205680769442464, 0.5205599455472493]",1
"[0.8847963990014436, 0.8847965280330071, 0.8847983528770252, 0.8847963990014438]",1
"[0.047338468199574324, 0.0892749225618813, 0.06977104376242414, 0.10475706348116796]",0
"[0.563645332619073, 0.5636458213496722, 0.5636527332794874, 0.5636453326190731]",1
"[0.22493760622302522, 0.2249384743166573, 0.2249507514326565, 0.22493760622302528]",1
"[0.5626707448628137, 0.562671234684981, 0.5626781620524269, 0.5626707448628138]",1
"[0.14271222444415216, 0.1547528740386337, 0.1361031679084943, 0.19757986707461433]",0
"[0.025381842874885076, 0.025382934477087296, 0.09428556616972228, 0.09427020481543318]",0
"[0.8530522949293595, 0.8530524595152924, 0.8530547871911485, 0.8530522949293597]",1
"[0.0632021199963775, 0.10966444041908988, 0.10967854349682109, 0.10966344321486278]",0
"[0.14499116934850304, 0.05773069951193865, 0.057745625229602644, 0.14496364856471114]",0
"[0.27999741432636, 0.27999822075131975, 0.28000962571088817, 0.27999741432636005]",1
"[0.13419582189700763, 0.13329740701705597, 0.13331113574428377, 0.8031766344705499]",0
